LotArea,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageArea,PoolArea,OverallQual,OverallCond,MSZoning,Street,Neighborhood,BldgType,HouseStyle,ExterQual,KitchenQual,GarageType,SaleCondition,SalePrice
35327,1902,1952,2040.0,3208,2,2,5,9,1239.0,0,4,6,RL,Pave,NAmes,1Fam,1.5Fin,Ex,Ex,Attchd,Partial,455160
17698,1944,2012,1389.0,3675,2,0,7,10,1332.0,0,1,2,RL,Pave,NridgHt,1Fam,1Story,Gd,TA,Attchd,Normal,441485
11414,1913,1968,68.0,4314,1,0,3,12,895.0,0,9,2,RL,Pave,Sawyer,1Fam,1Story,Ex,Fa,Attchd,Normal,509145
29390,2019,1972,2346.0,2514,0,1,4,12,1458.0,0,10,3,RL,Pave,Gilbert,Duplx,1Story,TA,TA,Attchd,Partial,475250
23799,1929,1978,943.0,4289,1,2,5,8,331.0,0,4,1,FV,Pave,NWAmes,1Fam,1Story,Gd,Ex,Attchd,Normal,443322
45085,2013,1979,801.0,2943,3,2,3,11,,0,3,9,RL,Pave,OldTown,1Fam,1Story,TA,Gd,Attchd,Normal,392445
45189,1967,1988,2343.0,1411,1,2,6,11,26.0,0,6,4,RL,Pave,CollgCr,1Fam,2Story,TA,Fa,Attchd,Normal,319518
44057,1917,1974,2250.0,3713,3,1,1,9,1189.0,0,1,5,FV,Pave,Somerst,1Fam,1Story,TA,TA,Detchd,Normal,465118
45520,1961,1957,,2864,2,0,5,13,317.0,0,5,7,FV,Pave,NWAmes,1Fam,2Story,TA,TA,Attchd,Partial,360245
4193,1936,2007,945.0,4129,3,1,3,10,1297.0,0,7,1,RM,Pave,NAmes,Duplx,1Story,Gd,Gd,Attchd,Normal,527611
30967,1924,1965,1337.0,3972,3,2,6,7,1406.0,0,2,3,RL,Pave,NAmes,1Fam,1Story,Gd,Ex,Attchd,Normal,472232
31223,1947,2021,1184.0,1180,0,0,6,13,364.0,0,10,3,RL,Pave,SawyerW,1Fam,2Story,Gd,Ex,None,Normal,290575
48199,1964,1950,330.0,1109,3,0,6,13,1126.0,0,9,2,RM,Pave,OldTown,1Fam,SLvl,TA,TA,Attchd,Normal,320757
5127,1952,1954,1551.0,2656,3,1,1,11,959.0,0,6,8,RL,Pave,SawyerW,1Fam,1.5Fin,TA,Ex,,Normal,401943
27439,2009,1952,337.0,4366,1,0,0,3,372.0,0,2,5,RL,Pave,OldTown,1Fam,SFoyer,Gd,Fa,Attchd,Normal,460162
44441,1978,2014,1629.0,871,2,0,1,3,244.0,0,8,1,RL,Pave,Somerst,Duplx,2Story,TA,Gd,BuiltIn,Normal,277766
23334,1972,1953,1327.0,1115,1,2,1,5,1192.0,613,8,2,RL,Pave,Edwards,1Fam,2Story,Ex,TA,Detchd,Normal,291590
19547,1914,2013,1526.0,2753,1,2,7,10,1441.0,0,1,1,RL,Pave,Gilbert,2FmCon,2Story,TA,Gd,Detchd,Normal,327371
27605,1948,1959,1673.0,4638,2,0,4,8,1379.0,0,1,6,RL,Pave,Sawyer,1Fam,2Story,TA,TA,Attchd,Normal,500427
11730,2020,1970,1361.0,1364,2,0,6,3,477.0,0,1,9,RL,Pave,Sawyer,1Fam,1Story,TA,Ex,Detchd,Normal,203242
17207,1987,1995,1573.0,1768,3,1,3,9,124.0,0,4,7,RL,Pave,Edwards,1Fam,2Story,Fa,TA,Detchd,Normal,277509
23476,1967,1976,2686.0,1284,3,1,5,12,536.0,0,4,5,RL,Pave,NAmes,1Fam,1Story,TA,TA,Attchd,Normal,275675
45762,1911,2015,274.0,4678,0,0,4,8,705.0,0,8,3,RL,Pave,NridgHt,1Fam,1Story,TA,Ex,BuiltIn,Normal,516810
25276,1958,1990,1187.0,2737,1,2,6,10,1425.0,0,1,8,RM,Pave,Gilbert,1Fam,2Story,Gd,TA,Attchd,Normal,364856
31580,2021,1962,2366.0,4554,2,0,2,9,530.0,0,10,4,C,Pave,Somerst,1Fam,1Story,TA,TA,Attchd,Abnorml,625096
2806,1936,1958,2636.0,1435,3,0,1,4,785.0,700,3,9,RL,Pave,Edwards,1Fam,1Story,TA,Fa,BuiltIn,Normal,280079
8276,1960,1985,2551.0,4480,2,2,2,2,253.0,0,1,5,RL,Pave,Gilbert,1Fam,1Story,Ex,Fa,Detchd,Normal,484002
28751,2000,2007,2434.0,2838,3,2,6,3,120.0,0,9,6,RL,Pave,Sawyer,1Fam,SFoyer,TA,Fa,Attchd,Normal,491679
10974,1942,2003,1993.0,825,0,1,4,3,1055.0,0,10,5,RL,Pave,Gilbert,1Fam,1Story,Gd,Ex,Attchd,Normal,276928
41794,1969,1961,869.0,2034,0,1,3,5,660.0,248,9,7,RL,Pave,OldTown,1Fam,1Story,Ex,Gd,BuiltIn,Normal,350504
23459,1938,1963,2880.0,3980,2,1,4,7,1060.0,0,7,7,RL,Pave,NWAmes,1Fam,1.5Fin,Fa,Fa,Attchd,AdjLand,543736
7030,1955,1983,1014.0,4361,0,1,7,5,1365.0,0,8,1,RM,Pave,OldTown,1Fam,1Story,TA,Gd,Attchd,Normal,548243
